file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	maxnode	total
../thesis/xml_mendonca/REAL-FM-1.xml	netlist	NONE	0.0000000000	0	0	1.65299e+13	454	88.0	113.0	1.0	100.0		100.0	163	163
../thesis/xml_mendonca/REAL-FM-4.xml	malik_fanin	NONE	0.0700000000	0.036	0	4.52041e+49	4335	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	5043	73202
../thesis/xml_mendonca/REAL-FM-4.xml	FORCE	NONE		0.032	0	4.52041e+49	3781	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	2193	25275
../thesis/xml_mendonca/REAL-FM-4.xml	narodyska	NONE	0.2800000000	1.908	0	4.52041e+49	9363	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	668187	1130767
../thesis/xml_mendonca/REAL-FM-4.xml	malik_level	NONE	0.0800000000	0.232	0	4.52041e+49	8015	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	57704	412807
../thesis/xml_mendonca/REAL-FM-4.xml	fujii	NONE	0.0200000000	0.108	0	4.52041e+49	6656	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	11935	336019
../thesis/xml_mendonca/REAL-FM-4.xml	fujita	NONE	0.0600000000	0.036	0	4.52041e+49	4568	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	11393	74038
../thesis/xml_mendonca/REAL-FM-4.xml	mendonca	NONE	0.0109462700	0.016	0	4.52041e+49	3296	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	1936	23226
../thesis/xml_mendonca/REAL-FM-4.xml	MINCE	NONE	0.0600000000	0.008	0	4.52041e+49	2017	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	551	780
../thesis/xml_mendonca/REAL-FM-4.xml	netlist	NONE	0.0000000000	0.04	0	4.52041e+49	4656	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	11393	75571
../thesis/xml_mendonca/REAL-FM-2.xml	malik_fanin	NONE	0.0100000000	0	0	1056	92	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	37	49
../thesis/xml_mendonca/REAL-FM-2.xml	FORCE	NONE		0	0	1056	98	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	37	70
../thesis/xml_mendonca/REAL-FM-2.xml	narodyska	NONE	0.0100000000	0.004	0	1056	123	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	33	54
../thesis/xml_mendonca/REAL-FM-2.xml	malik_level	NONE	0.0000000000	0	0	1056	110	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	32	58
../thesis/xml_mendonca/REAL-FM-2.xml	fujii	NONE	0.0000000000	0	0	1056	167	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	93	133
../thesis/xml_mendonca/REAL-FM-2.xml	fujita	NONE	0.0000000000	0	0	1056	98	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	37	70
../thesis/xml_mendonca/REAL-FM-2.xml	mendonca	NONE	0.0039029970	0	0	1056	100	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	32	37
../thesis/xml_mendonca/REAL-FM-2.xml	MINCE	NONE	0.0000000000	0	0	1056	71	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	32	37
../thesis/xml_mendonca/REAL-FM-2.xml	netlist	NONE	0.0000000000	0	0	1056	98	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	37	70
../thesis/xml_mendonca/REAL-FM-5.xml	malik_fanin	NONE	0.0000000000	0	0	79	139	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	39	85
../thesis/xml_mendonca/REAL-FM-5.xml	FORCE	NONE		0	0	79	135	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	68	87
../thesis/xml_mendonca/REAL-FM-5.xml	narodyska	NONE	0.0000000000	0	0	79	154	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	46	84
../thesis/xml_mendonca/REAL-FM-5.xml	malik_level	NONE	0.0000000000	0	0	79	144	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	39	83
../thesis/xml_mendonca/REAL-FM-5.xml	fujii	NONE	0.0000000000	0	0	79	160	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	43	79
../thesis/xml_mendonca/REAL-FM-5.xml	fujita	NONE	0.0000000000	0	0	79	135	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	68	87
../thesis/xml_mendonca/REAL-FM-5.xml	mendonca	NONE	0.0073338410	0	0	79	127	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	69	69
../thesis/xml_mendonca/REAL-FM-5.xml	MINCE	NONE	0.0100000000	0	0	79	97	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	36	76
../thesis/xml_mendonca/REAL-FM-5.xml	netlist	NONE	0.0000000000	0	0	79	135	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	68	87
../thesis/xml_mendonca/REAL-FM-3.xml	malik_fanin	NONE	0.0100000000	0	0	2.1208e+06	282	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	77	335
../thesis/xml_mendonca/REAL-FM-3.xml	FORCE	NONE		0	0	2.1208e+06	215	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	109	217
../thesis/xml_mendonca/REAL-FM-3.xml	narodyska	NONE	0.0100000000	0	0	2.1208e+06	395	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	121	562
../thesis/xml_mendonca/REAL-FM-3.xml	malik_level	NONE	0.0000000000	0	0	2.1208e+06	423	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	135	457
../thesis/xml_mendonca/REAL-FM-3.xml	fujii	NONE	0.0000000000	0	0	2.1208e+06	306	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	241	581
../thesis/xml_mendonca/REAL-FM-3.xml	fujita	NONE	0.0000000000	0	0	2.1208e+06	243	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	73	197
../thesis/xml_mendonca/REAL-FM-3.xml	mendonca	NONE	0.0083963170	0	0	2.1208e+06	279	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	75	245
../thesis/xml_mendonca/REAL-FM-3.xml	MINCE	NONE	0.0100000000	0	0	2.1208e+06	161	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	77	99
../thesis/xml_mendonca/REAL-FM-3.xml	netlist	NONE	0.0000000000	0	0	2.1208e+06	238	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	74	198
../thesis/xml_mendonca/REAL-FM-1.xml	malik_fanin	NONE	0.0100000000	0	0	1.65299e+13	504	88.0	113.0	1.0	100.0		100.0	155	155
../thesis/xml_mendonca/REAL-FM-1.xml	FORCE	NONE		0.004	0	1.65299e+13	404	88.0	113.0	1.0	100.0		100.0	148	148
../thesis/xml_mendonca/REAL-FM-1.xml	narodyska	NONE	0.0300000000	0.004	0	1.65299e+13	1077	88.0	113.0	1.0	100.0		100.0	397	397
../thesis/xml_mendonca/REAL-FM-1.xml	malik_level	NONE	0.0200000000	0.004	0	1.65299e+13	1131	88.0	113.0	1.0	100.0		100.0	1942	1942
../thesis/xml_mendonca/REAL-FM-1.xml	fujii	NONE	0.0000000000	0.004	0	1.65299e+13	1179	88.0	113.0	1.0	100.0		100.0	437	437
../thesis/xml_mendonca/REAL-FM-1.xml	fujita	NONE	0.0100000000	0	0	1.65299e+13	447	88.0	113.0	1.0	100.0		100.0	163	163
../thesis/xml_mendonca/REAL-FM-1.xml	mendonca	NONE	0.0047186040	0.004	0	1.65299e+13	432	88.0	113.0	1.0	100.0		100.0	145	145
../thesis/xml_mendonca/REAL-FM-1.xml	MINCE	NONE	0.0200000000	0.004	0	1.65299e+13	351	88.0	113.0	1.0	100.0		100.0	148	148
../thesis/xml_mendonca/REAL-FM-1.xml	netlist	NONE	0.0000000000	0	0	1.65299e+13	454	88.0	113.0	1.0	100.0		100.0	163	163
../thesis/xml_mendonca/REAL-FM-4.xml	malik_fanin	NONE	0.0600000000	0.044	0	4.52041e+49	4335	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	5043	73202
../thesis/xml_mendonca/REAL-FM-4.xml	FORCE	NONE		0.032	0	4.52041e+49	3781	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	2193	25275
../thesis/xml_mendonca/REAL-FM-4.xml	narodyska	NONE	0.2700000000	1.372	0	4.52041e+49	9363	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	668187	1130767
../thesis/xml_mendonca/REAL-FM-4.xml	malik_level	NONE	0.0800000000	0.28	0	4.52041e+49	8015	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	57704	412807
../thesis/xml_mendonca/REAL-FM-4.xml	fujii	NONE	0.0200000000	0.148	0	4.52041e+49	6656	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	11935	336019
../thesis/xml_mendonca/REAL-FM-4.xml	fujita	NONE	0.0600000000	0.04	0	4.52041e+49	4568	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	11393	74038
../thesis/xml_mendonca/REAL-FM-4.xml	mendonca	NONE	0.0110379440	0.02	0	4.52041e+49	3442	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	1923	24076
../thesis/xml_mendonca/REAL-FM-4.xml	MINCE	NONE	0.0600000000	0.012	0	4.52041e+49	1948	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	690	984
../thesis/xml_mendonca/REAL-FM-4.xml	netlist	NONE	0.0000000000	0.044	0	4.52041e+49	4656	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	11393	75571
../thesis/xml_mendonca/REAL-FM-2.xml	malik_fanin	NONE	0.0000000000	0	0	1056	92	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	37	49
../thesis/xml_mendonca/REAL-FM-2.xml	FORCE	NONE		0	0	1056	98	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	37	70
../thesis/xml_mendonca/REAL-FM-2.xml	narodyska	NONE	0.0100000000	0	0	1056	123	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	33	54
../thesis/xml_mendonca/REAL-FM-2.xml	malik_level	NONE	0.0100000000	0	0	1056	110	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	32	58
../thesis/xml_mendonca/REAL-FM-2.xml	fujii	NONE	0.0000000000	0	0	1056	167	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	93	133
../thesis/xml_mendonca/REAL-FM-2.xml	fujita	NONE	0.0000000000	0	0	1056	98	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	37	70
../thesis/xml_mendonca/REAL-FM-2.xml	mendonca	NONE	0.0056106310	0	0	1056	100	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	32	37
../thesis/xml_mendonca/REAL-FM-2.xml	MINCE	NONE	0.0000000000	0	0	1056	71	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	32	37
../thesis/xml_mendonca/REAL-FM-2.xml	netlist	NONE	0.0000000000	0	0	1056	98	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	37	70
../thesis/xml_mendonca/REAL-FM-5.xml	malik_fanin	NONE	0.0000000000	0	0	79	139	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	39	85
../thesis/xml_mendonca/REAL-FM-5.xml	FORCE	NONE		0	0	79	135	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	68	87
../thesis/xml_mendonca/REAL-FM-5.xml	narodyska	NONE	0.0000000000	0	0	79	154	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	46	84
../thesis/xml_mendonca/REAL-FM-5.xml	malik_level	NONE	0.0000000000	0	0	79	144	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	39	83
../thesis/xml_mendonca/REAL-FM-5.xml	fujii	NONE	0.0000000000	0	0	79	160	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	43	79
../thesis/xml_mendonca/REAL-FM-5.xml	fujita	NONE	0.0000000000	0	0	79	135	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	68	87
../thesis/xml_mendonca/REAL-FM-5.xml	mendonca	NONE	0.0073241860	0	0	79	134	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	49	71
../thesis/xml_mendonca/REAL-FM-5.xml	MINCE	NONE	0.0100000000	0	0	79	97	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	36	76
../thesis/xml_mendonca/REAL-FM-5.xml	netlist	NONE	0.0000000000	0	0	79	135	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	68	87
../thesis/xml_mendonca/REAL-FM-3.xml	malik_fanin	NONE	0.0100000000	0	0	2.1208e+06	282	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	77	335
../thesis/xml_mendonca/REAL-FM-3.xml	FORCE	NONE		0	0	2.1208e+06	215	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	109	217
../thesis/xml_mendonca/REAL-FM-3.xml	narodyska	NONE	0.0100000000	0	0	2.1208e+06	395	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	121	562
../thesis/xml_mendonca/REAL-FM-3.xml	malik_level	NONE	0.0000000000	0.004	0	2.1208e+06	423	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	135	457
../thesis/xml_mendonca/REAL-FM-3.xml	fujii	NONE	0.0000000000	0	0	2.1208e+06	306	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	241	581
../thesis/xml_mendonca/REAL-FM-3.xml	fujita	NONE	0.0000000000	0	0	2.1208e+06	243	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	73	197
../thesis/xml_mendonca/REAL-FM-3.xml	mendonca	NONE	0.0074260840	0	0	2.1208e+06	281	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	75	198
../thesis/xml_mendonca/REAL-FM-3.xml	MINCE	NONE	0.0100000000	0	0	2.1208e+06	165	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	75	96
../thesis/xml_mendonca/REAL-FM-3.xml	netlist	NONE	0.0000000000	0	0	2.1208e+06	238	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	74	198
../thesis/xml_mendonca/REAL-FM-1.xml	malik_fanin	NONE	0.0100000000	0	0	1.65299e+13	504	88.0	113.0	1.0	100.0		100.0	155	155
../thesis/xml_mendonca/REAL-FM-1.xml	FORCE	NONE		0.004	0	1.65299e+13	404	88.0	113.0	1.0	100.0		100.0	148	148
../thesis/xml_mendonca/REAL-FM-1.xml	narodyska	NONE	0.0300000000	0	0	1.65299e+13	1077	88.0	113.0	1.0	100.0		100.0	397	397
../thesis/xml_mendonca/REAL-FM-1.xml	malik_level	NONE	0.0200000000	0.004	0	1.65299e+13	1131	88.0	113.0	1.0	100.0		100.0	1942	1942
../thesis/xml_mendonca/REAL-FM-1.xml	fujii	NONE	0.0000000000	0.004	0	1.65299e+13	1179	88.0	113.0	1.0	100.0		100.0	437	437
../thesis/xml_mendonca/REAL-FM-1.xml	fujita	NONE	0.0100000000	0.004	0	1.65299e+13	447	88.0	113.0	1.0	100.0		100.0	163	163
../thesis/xml_mendonca/REAL-FM-1.xml	mendonca	NONE	0.0044885130	0	0	1.65299e+13	432	88.0	113.0	1.0	100.0		100.0	145	145
../thesis/xml_mendonca/REAL-FM-1.xml	MINCE	NONE	0.0200000000	0	0	1.65299e+13	342	88.0	113.0	1.0	100.0		100.0	155	155
../thesis/xml_mendonca/REAL-FM-1.xml	netlist	NONE	0.0000000000	0	0	1.65299e+13	454	88.0	113.0	1.0	100.0		100.0	163	163
../thesis/xml_mendonca/REAL-FM-4.xml	malik_fanin	NONE	0.0700000000	0.032	0	4.52041e+49	4335	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	5043	73202
../thesis/xml_mendonca/REAL-FM-4.xml	FORCE	NONE		0.04	0	4.52041e+49	3781	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	2193	25275
../thesis/xml_mendonca/REAL-FM-4.xml	narodyska	NONE	0.2800000000	1.852	0	4.52041e+49	9363	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	668187	1130767
../thesis/xml_mendonca/REAL-FM-4.xml	malik_level	NONE	0.1000000000	0.212	0	4.52041e+49	8015	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	57704	412807
../thesis/xml_mendonca/REAL-FM-4.xml	fujii	NONE	0.0200000000	0.144	0	4.52041e+49	6656	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	11935	336019
../thesis/xml_mendonca/REAL-FM-4.xml	fujita	NONE	0.0500000000	0.036	0	4.52041e+49	4568	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	11393	74038
../thesis/xml_mendonca/REAL-FM-4.xml	mendonca	NONE	0.0107404610	0.008	0	4.52041e+49	3586	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	2128	24298
../thesis/xml_mendonca/REAL-FM-4.xml	MINCE	NONE	0.0800000000	0.02	0	4.52041e+49	2016	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	552	711
../thesis/xml_mendonca/REAL-FM-4.xml	netlist	NONE	0.0000000000	0.032	0	4.52041e+49	4656	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	11393	75571
../thesis/xml_mendonca/REAL-FM-2.xml	malik_fanin	NONE	0.0000000000	0	0	1056	92	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	37	49
../thesis/xml_mendonca/REAL-FM-2.xml	FORCE	NONE		0	0	1056	98	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	37	70
../thesis/xml_mendonca/REAL-FM-2.xml	narodyska	NONE	0.0100000000	0	0	1056	123	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	33	54
../thesis/xml_mendonca/REAL-FM-2.xml	malik_level	NONE	0.0000000000	0	0	1056	110	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	32	58
../thesis/xml_mendonca/REAL-FM-2.xml	fujii	NONE	0.0000000000	0	0	1056	167	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	93	133
../thesis/xml_mendonca/REAL-FM-2.xml	fujita	NONE	0.0100000000	0	0	1056	98	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	37	70
../thesis/xml_mendonca/REAL-FM-2.xml	mendonca	NONE	0.0055483250	0	0	1056	100	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	32	37
../thesis/xml_mendonca/REAL-FM-2.xml	MINCE	NONE	0.0000000000	0	0	1056	71	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	32	37
../thesis/xml_mendonca/REAL-FM-2.xml	netlist	NONE	0.0000000000	0	0	1056	98	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	37	70
../thesis/xml_mendonca/REAL-FM-5.xml	malik_fanin	NONE	0.0100000000	0	0	79	139	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	39	85
../thesis/xml_mendonca/REAL-FM-5.xml	FORCE	NONE		0	0	79	135	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	68	87
../thesis/xml_mendonca/REAL-FM-5.xml	narodyska	NONE	0.0000000000	0	0	79	154	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	46	84
../thesis/xml_mendonca/REAL-FM-5.xml	malik_level	NONE	0.0000000000	0	0	79	144	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	39	83
../thesis/xml_mendonca/REAL-FM-5.xml	fujii	NONE	0.0000000000	0	0	79	160	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	43	79
../thesis/xml_mendonca/REAL-FM-5.xml	fujita	NONE	0.0000000000	0	0	79	135	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	68	87
../thesis/xml_mendonca/REAL-FM-5.xml	mendonca	NONE	0.0060994240	0	0	79	115	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	53	53
../thesis/xml_mendonca/REAL-FM-5.xml	MINCE	NONE	0.0000000000	0	0	79	97	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	36	76
../thesis/xml_mendonca/REAL-FM-5.xml	netlist	NONE	0.0000000000	0	0	79	135	17.0	34.0	2.0	82.35294117647058	24.956709924231088	82.35294117647058	68	87
../thesis/xml_mendonca/REAL-FM-3.xml	malik_fanin	NONE	0.0100000000	0	0	2.1208e+06	282	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	77	335
../thesis/xml_mendonca/REAL-FM-3.xml	FORCE	NONE		0	0	2.1208e+06	215	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	109	217
../thesis/xml_mendonca/REAL-FM-3.xml	narodyska	NONE	0.0000000000	0	0	2.1208e+06	395	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	121	562
../thesis/xml_mendonca/REAL-FM-3.xml	malik_level	NONE	0.0000000000	0	0	2.1208e+06	423	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	135	457
../thesis/xml_mendonca/REAL-FM-3.xml	fujii	NONE	0.0000000000	0	0	2.1208e+06	306	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	241	581
../thesis/xml_mendonca/REAL-FM-3.xml	fujita	NONE	0.0000000000	0	0	2.1208e+06	243	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	73	197
../thesis/xml_mendonca/REAL-FM-3.xml	mendonca	NONE	0.0070620170	0	0	2.1208e+06	277	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	75	151
../thesis/xml_mendonca/REAL-FM-3.xml	MINCE	NONE	0.0100000000	0	0	2.1208e+06	157	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	75	96
../thesis/xml_mendonca/REAL-FM-3.xml	netlist	NONE	0.0000000000	0	0	2.1208e+06	238	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	74	198
../thesis/xml_mendonca/REAL-FM-1.xml	malik_fanin	NONE	0.0100000000	0	0	1.65299e+13	504	88.0	113.0	1.0	100.0		100.0	155	155
../thesis/xml_mendonca/REAL-FM-1.xml	FORCE	NONE		0	0	1.65299e+13	404	88.0	113.0	1.0	100.0		100.0	148	148
../thesis/xml_mendonca/REAL-FM-1.xml	narodyska	NONE	0.0300000000	0	0	1.65299e+13	1077	88.0	113.0	1.0	100.0		100.0	397	397
../thesis/xml_mendonca/REAL-FM-1.xml	malik_level	NONE	0.0200000000	0	0	1.65299e+13	1131	88.0	113.0	1.0	100.0		100.0	1942	1942
../thesis/xml_mendonca/REAL-FM-1.xml	fujii	NONE	0.0000000000	0.004	0	1.65299e+13	1179	88.0	113.0	1.0	100.0		100.0	437	437
../thesis/xml_mendonca/REAL-FM-1.xml	fujita	NONE	0.0100000000	0	0	1.65299e+13	447	88.0	113.0	1.0	100.0		100.0	163	163
../thesis/xml_mendonca/REAL-FM-1.xml	mendonca	NONE	0.0046634360	0.004	0	1.65299e+13	432	88.0	113.0	1.0	100.0		100.0	145	145
../thesis/xml_mendonca/REAL-FM-1.xml	MINCE	NONE	0.0200000000	0.004	0	1.65299e+13	342	88.0	113.0	1.0	100.0		100.0	144	144
../thesis/xml_mendonca/REAL-FM-1.xml	netlist	NONE	0.0000000000	0	0	1.65299e+13	454	88.0	113.0	1.0	100.0		100.0	163	163
../thesis/xml_mendonca/REAL-FM-4.xml	malik_fanin	NONE	0.0600000000	0.032	0	4.52041e+49	4335	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	5043	73202
../thesis/xml_mendonca/REAL-FM-4.xml	FORCE	NONE		0.036	0	4.52041e+49	3781	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	2193	25275
../thesis/xml_mendonca/REAL-FM-4.xml	narodyska	NONE	0.2700000000	2.136	0	4.52041e+49	9363	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	668187	1130767
../thesis/xml_mendonca/REAL-FM-4.xml	malik_level	NONE	0.0800000000	0.332	0	4.52041e+49	8015	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	57704	412807
../thesis/xml_mendonca/REAL-FM-4.xml	fujii	NONE	0.0200000000	0.16	0	4.52041e+49	6656	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	11935	336019
../thesis/xml_mendonca/REAL-FM-4.xml	fujita	NONE	0.0500000000	0.032	0	4.52041e+49	4568	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	11393	74038
../thesis/xml_mendonca/REAL-FM-4.xml	mendonca	NONE	0.0081593710	0.016	0	4.52041e+49	3037	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	1883	22453
../thesis/xml_mendonca/REAL-FM-4.xml	MINCE	NONE	0.0600000000	0.02	0	4.52041e+49	1846	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	560	692
../thesis/xml_mendonca/REAL-FM-4.xml	netlist	NONE	0.0000000000	0.04	0	4.52041e+49	4656	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	11393	75571
../thesis/xml_mendonca/REAL-FM-2.xml	malik_fanin	NONE	0.0000000000	0	0	1056	92	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	37	49
../thesis/xml_mendonca/REAL-FM-2.xml	FORCE	NONE		0	0	1056	98	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	37	70
../thesis/xml_mendonca/REAL-FM-2.xml	narodyska	NONE	0.0100000000	0	0	1056	123	23.0	31.0	2.0	58.69565217391305	58.413168880627836	58.69565217391305	33	54
